# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Feb 13 14:59:50 2013
#
#rowid	kepid	kepoi_name	koi_pdisposition	koi_disposition	koi_period	koi_time0bk	koi_depth	koi_duration	koi_ingress	koi_impact	koi_incl	koi_sma	koi_eccen	koi_longp	koi_dor	koi_ror	koi_prad	koi_teq	koi_steff	koi_slogg	koi_srad	koi_smet	koi_smass	koi_sage	koi_vet_stat
48	10666592	K00002.01	CANDIDATE	CONFIRMED	2.20473537	121.3578020	6713	3.8775		0.1282	88.24	0.039	0		4.681000	0.07545	22.30	2303.0	6264.00	3.790	2.7100			1.9800	Active
49	6922244	K00010.01	CANDIDATE	CONFIRMED	3.52249913	121.1185950	9165	3.1984		0.6400	85.37	0.047	0		7.500000	0.09328	15.90	1532.0	6025.00	4.110	1.5600			5.4000	Active
50	10984090	K00112.02	CANDIDATE	CANDIDATE	3.70919100	133.9857000	136	2.6782		0.5950	85.94	0.047	0		8.700000	0.01109	1.20	1185.0	5853.00	4.460	0.9910			2.4000	Active
51	10419211	K00742.01	FALSE POSITIVE	FALSE POSITIVE	11.52142760	170.8393500	16345	2.8179		1.3300	85.37	0.099	0		15.900000	0.48000	46.00	758.0	5803.00	4.550	0.8700			0.3000	Active
52	10464078	K00743.01	FALSE POSITIVE	FALSE POSITIVE	19.40401900	172.4809100	10147	10.0479		0.8120	85.37	0.129	0		9.745000	0.10654	8.90	549.0	5110.00	4.550	0.7700			13.9000	Active
53	10480982	K00744.01	FALSE POSITIVE	FALSE POSITIVE	19.22138460	184.5515300	71014	4.4228		1.0200	88.24	0.144	0		30.400000	0.41400	45.00	708.0	6134.00	4.480	0.9900			0.3000	Active
54	10485250	K00745.01	FALSE POSITIVE	FALSE POSITIVE	16.46991500	180.8782600	10457	9.3625		0.0150	89.95	0.116	0		14.661000	0.09016	7.70	589.0	5152.00	4.540	0.7800			14.0000	Active
55	7708215	K00894.01	FALSE POSITIVE	FALSE POSITIVE	7.94257100	174.5277000	1936	5.0749		0.9600	76.78	0.077	0		4.210000	0.06040	5.80	855.0	5749.00	4.530	0.8800			1.9000	Active
56	7767559	K00895.01	CANDIDATE	CANDIDATE	4.40941140	171.8933700	13157	3.8575		0.0260	89.95	0.050	0		9.660000	0.10374	11.40	1112.0	5617.00	4.370	1.0100			11.8000	Active
57	7825899	K00896.01	CANDIDATE	CANDIDATE	16.23952000	175.5690000	2542	4.0996		0.5700	88.81	0.122	0		26.600000	0.04750	4.53	613.0	5190.00	4.520	0.8740			5.2000	Active
58	7825899	K00896.02	CANDIDATE	CANDIDATE	6.30820700	174.0463000	1308	3.0319		0.5300	87.66	0.065	0		14.100000	0.03380	3.22	839.0	5190.00	4.520	0.8740			5.2000	Active
59	7849854	K00897.01	CANDIDATE	CANDIDATE	2.05234974	169.8898650	14509	2.0540		0.3320	87.66	0.031	0		8.120000	0.11035	11.50	1440.0	5875.00	4.460	0.9600			4.0000	Active
60	7870390	K00898.01	CANDIDATE	CANDIDATE	9.77051300	175.7103000	1968	2.6168		0.6800	88.24	0.078	0		22.500000	0.04270	2.83	572.0	4648.00	4.690	0.6070			6.1000	Active
61	7870390	K00898.02	CANDIDATE	CANDIDATE	5.16982000	172.6295000	1206	2.1555		0.6500	87.66	0.051	0		14.700000	0.03290	2.18	708.0	4648.00	4.690	0.6070			6.1000	Active
62	5094751	K00123.02	CANDIDATE	CANDIDATE	21.22253400	137.5738000	362	6.4708		0.0100	89.95	0.153	0		25.500000	0.01734	2.71	793.0	5871.00	4.150	1.4300			7.2900	Active
63	7870390	K00898.03	CANDIDATE	CANDIDATE	20.08976000	147.9838000	1448	3.5778		0.5900	88.81	0.126	0		36.000000	0.03560	2.36	450.0	4648.00	4.690	0.6070			6.1000	Active
64	7907423	K00899.01	CANDIDATE	CANDIDATE	7.11372600	174.3234000	857	2.2133		0.7500	87.66	0.058	0		17.300000	0.02930	1.57	489.0	3803.00	4.760	0.4920			13.9000	Active
65	7907423	K00899.02	CANDIDATE	CANDIDATE	3.30656200	134.3699000	518	1.8130		0.7000	85.94	0.035	0		10.400000	0.02230	1.20	629.0	3803.00	4.760	0.4920			13.9000	Active
66	7907423	K00899.03	CANDIDATE	CANDIDATE	15.36829000	147.3915000	758	2.5239		0.8200	88.24	0.096	0		29.000000	0.02860	1.54	380.0	3803.00	4.760	0.4920			13.9000	Active
67	7938496	K00900.01	CANDIDATE	CANDIDATE	13.80994000	172.3417000	1408	3.1191		0.7800	88.24	0.112	0		23.200000	0.03790	4.60	820.0	5908.00	4.330	1.1100			7.4000	Active
68	8013419	K00901.01	CANDIDATE	CANDIDATE	12.73262000	176.9384500	6602	2.1665		0.7760	88.81	0.091	0		34.000000	0.08280	5.12	481.0	4371.00	4.720	0.5670			8.2000	Active
69	10526549	K00746.01	CANDIDATE	CANDIDATE	9.27382700	173.2491000	1292	3.3921		0.6900	87.66	0.077	0		16.100000	0.03500	2.64	643.0	4871.00	4.610	0.6900			13.8000	Active
70	10583066	K00747.01	CANDIDATE	CANDIDATE	6.02927200	171.6037000	1908	1.7450		0.8900	86.52	0.055	0		14.600000	0.04940	3.20	648.0	4473.00	4.690	0.5940			13.6000	Active
71	10583180	K00748.01	FALSE POSITIVE	FALSE POSITIVE	2.69633000	170.7437600	493	3.9471		0.0347	89.38	0.034	0		5.709000	0.02106	1.62	987.0	4916.00	4.600	0.7000			14.0000	Active
72	10601284	K00749.01	CANDIDATE	CANDIDATE	5.34956900	171.8047000	835	3.1011		0.5200	87.66	0.058	0		11.700000	0.02700	2.37	914.0	5559.00	4.580	0.8100			0.5000	Active
73	10601284	K00749.02	CANDIDATE	CANDIDATE	3.94104600	136.0879000	385	2.4849		0.6500	85.94	0.047	0		9.500000	0.01890	1.66	1015.0	5559.00	4.580	0.8100			0.5000	Active
74	10601284	K00749.03	CANDIDATE	CANDIDATE	8.10938000	132.7947000	286	3.2440		0.6200	87.66	0.077	0		15.400000	0.01610	1.42	793.0	5559.00	4.580	0.8100			0.5000	Active
75	2306756	K00113.01	CANDIDATE	CANDIDATE	386.59000000	166.3600000	24342	6.8096		1.3500	89.95	1.062	0		312.000000	0.53000	84.00	285.0	5500.00	4.133	1.4700			8.8000	Active
76	10662202	K00750.01	CANDIDATE	CANDIDATE	21.67689000	171.5367000	878	3.1512		0.7300	88.81	0.136	0		38.000000	0.02920	2.19	486.0	4900.00	4.620	0.6870			11.0000	Active
77	10682541	K00751.01	CANDIDATE	CANDIDATE	4.99677700	171.7410000	931	2.0364		0.4900	88.24	0.053	0		17.000000	0.02810	2.40	893.0	5249.00	4.550	0.7900			9.7000	Active
78	10797460	K00752.01	CANDIDATE	CANDIDATE	9.48810200	170.5361000	647	3.1720		0.3300	89.38	0.085	0		22.000000	0.02320	2.50	867.0	5763.00	4.410	0.9900			7.7000	Active
79	10797460	K00752.02	CANDIDATE	CANDIDATE	54.41759000	162.5179000	875	4.6085		0.6600	89.38	0.274	0		71.000000	0.02860	3.10	483.0	5763.00	4.410	0.9900			7.7000	Active
80	10811496	K00753.01	CANDIDATE	CANDIDATE	19.89914700	175.8499600	9041	1.5428		0.7100	89.38	0.143	0		82.000000	0.09350	9.00	642.0	5853.00	4.540	0.8800			0.4000	Active
81	10848459	K00754.01	FALSE POSITIVE	FALSE POSITIVE	1.73695283	170.3068000	7543	1.8149		1.3900	61.31	0.028	0		2.900000	0.48000	47.00	1459.0	5863.00	4.540	0.8900			0.5000	Active
82	10854555	K00755.01	CANDIDATE	CANDIDATE	2.52561200	171.5919000	668	1.6480		0.7500	84.80	0.036	0		8.200000	0.02580	2.80	1382.0	5953.00	4.440	1.0000			3.9000	Active
83	8018547	K00902.01	CANDIDATE	CANDIDATE	83.91089000	236.8076700	7928	6.6443		0.5300	89.38	0.321	0		91.000000	0.08300	5.43	271.0	4494.00	4.680	0.5990			14.0000	Active
84	8247638	K00907.04	CANDIDATE	CANDIDATE	99.63680000	198.7000000	907	5.2728		0.9370	89.38	0.414	0		63.000000	0.03430	4.10	420.0	5870.00	4.340	1.0900			7.9000	Active
85	8255887	K00908.01	CANDIDATE	CANDIDATE	4.70832700	171.4457200	7958	3.1677		0.0200	89.95	0.052	0		12.300000	0.08020	8.50	1044.0	5475.00	4.380	0.9700			13.9000	Active
86	8256049	K00909.01	FALSE POSITIVE	FALSE POSITIVE	16.37189000	172.7617900	5823	2.8792		0.9900	87.09	0.105	0		20.100000	0.13000	7.80	426.0	4224.00	4.720	0.5490			13.9000	Active
87	8414716	K00910.01	CANDIDATE	CANDIDATE	5.39206600	171.7242000	1182	3.1037		0.7900	84.80	0.056	0		9.000000	0.03500	2.67	796.0	5110.00	4.650	0.7000			0.7000	Active
88	8490993	K00911.01	CANDIDATE	CANDIDATE	4.09360200	171.0068000	579	2.2831		0.3500	88.24	0.051	0		13.200000	0.02200	2.29	1153.0	6050.00	4.500	0.9500			0.4000	Active
89	8490993	K00911.02	CANDIDATE	CANDIDATE	105.15200000	178.3481000	747	5.8515		0.6000	89.95	0.443	0		114.000000	0.02600	2.70	391.0	6050.00	4.500	0.9500			0.4000	Active
90	8505670	K00912.01	CANDIDATE	CANDIDATE	10.84850700	171.8036000	1651	2.9606		0.2900	89.38	0.081	0		28.000000	0.03640	2.30	519.0	4397.00	4.700	0.5800			13.9000	Active
91	8505670	K00912.02	CANDIDATE	CANDIDATE	6.66839100	137.4338000	416	1.8745		0.7000	88.24	0.059	0		20.200000	0.01990	1.26	608.0	4397.00	4.700	0.5800			13.9000	Active
92	8544996	K00913.01	CANDIDATE	CANDIDATE	4.08227693	169.6367030	17972	3.2244		0.0270	89.95	0.049	0		10.860000	0.12133	11.10	1037.0	5679.00	4.570	0.8400			0.5000	Active
93	8552202	K00914.01	CANDIDATE	CANDIDATE	3.88660900	169.7412000	490	3.2262		0.5730	85.94	0.048	0		7.820000	0.02131	1.98	1065.0	5732.00	4.560	0.8500			0.4000	Active
94	11449844	K00125.01	FALSE POSITIVE	FALSE POSITIVE	38.47874300	151.8523320	23818	5.0254		0.0260	89.95	0.222	0		66.600000	0.13877	14.14	499.0	5515.00	4.490	0.9330			3.3000	Active
95	8605074	K00915.01	FALSE POSITIVE	FALSE POSITIVE	37.60163200	194.7129500	59852	7.9603		0.3410	89.38	0.224	0		42.490000	0.22510	28.00	611.0	6151.00	4.360	1.1400			3.7000	Active
96	8628973	K00916.01	CANDIDATE	CANDIDATE	3.31495230	171.3120000	1418	1.9184		0.8950	82.51	0.041	0		7.100000	0.04140	4.00	1128.0	5513.00	4.480	0.8800			9.1000	Active
97	8655354	K00917.01	FALSE POSITIVE	FALSE POSITIVE	6.71972000	173.3564700	861	2.2389		0.0216	89.95	0.070	0		24.420000	0.02735	2.90	982.0	6006.00	4.490	0.9600			1.5000	Active
98	10872983	K00756.01	CANDIDATE	CANDIDATE	11.09432900	171.2009000	1542	4.9895		0.8190	85.94	0.099	0		10.900000	0.04034	4.10	817.0	6014.00	4.510	0.9400			0.3000	Active
99	10872983	K00756.02	CANDIDATE	CANDIDATE	4.13440300	172.9801000	703	3.3067		0.8450	81.36	0.051	0		5.660000	0.02763	2.80	1138.0	6014.00	4.510	0.9400			0.3000	Active
100	10872983	K00756.03	CANDIDATE	CANDIDATE	2.56657500	179.5611000	204	2.5026		0.8760	77.92	0.037	0		4.120000	0.01520	1.56	1336.0	6014.00	4.510	0.9400			0.3000	Active
101	6721123	K00114.01	FALSE POSITIVE	FALSE POSITIVE	7.36178900	132.2503000	267	3.8858		0.9260	81.36	0.082	0		6.190000	0.01801	3.78	1329.0	6222.00	4.010	1.9200			3.0500	Active
102	10910878	K00757.01	CANDIDATE	CANDIDATE	16.06861800	173.6219500	4922	3.5286		0.2500	89.38	0.115	0		35.900000	0.06280	4.80	555.0	5099.00	4.650	0.7000			1.1000	Active
103	10910878	K00757.02	CANDIDATE	CANDIDATE	41.19274000	165.0349000	2226	4.5832		0.3600	89.95	0.216	0		67.300000	0.04270	3.30	405.0	5099.00	4.650	0.7000			1.1000	Active
104	10910878	K00757.03	CANDIDATE	CANDIDATE	6.25294800	171.2995000	984	2.5645		0.0100	89.95	0.062	0		19.200000	0.02780	2.10	755.0	5099.00	4.650	0.7000			1.1000	Active
105	10987985	K00758.01	CANDIDATE	CANDIDATE	16.01285000	176.3641000	1185	3.3152		0.7800	88.24	0.111	0		25.000000	0.03500	2.70	553.0	4949.00	4.590	0.7100			13.7000	Active
106	11018648	K00759.01	CANDIDATE	CANDIDATE	32.62501000	194.1384000	1827	5.3599		0.8770	88.24	0.194	0		26.500000	0.04595	4.20	513.0	5608.00	4.560	0.8300			1.8000	Active
107	11018648	K00759.02	CANDIDATE	CANDIDATE	91.77430000	193.8328000	676	6.8723		0.8880	88.81	0.387	0		52.900000	0.02820	2.60	363.0	5608.00	4.560	0.8300			1.8000	Active
108	11138155	K00760.01	CANDIDATE	CANDIDATE	4.95933470	172.2569300	9862	2.2234		0.8410	85.94	0.058	0		12.220000	0.10388	10.90	1096.0	6095.00	4.500	0.9600			0.3000	Active
109	11152159	K00761.01	FALSE POSITIVE	FALSE POSITIVE	2.70130490	170.6929000	923	2.5966		0.0210	89.95	0.036	0		8.230000	0.02826	2.80	1212.0	5506.00	4.460	0.9000			10.2000	Active
110	11153539	K00762.01	CANDIDATE	CANDIDATE	4.49884000	171.3444000	514	4.0348		0.8340	80.79	0.054	0		5.130000	0.02347	2.50	1126.0	6057.00	4.500	0.9600			0.3000	Active
111	11242721	K00763.01	CANDIDATE	CANDIDATE	19.65122100	179.4009100	11784	5.2090		0.7180	88.24	0.144	0		24.300000	0.10721	12.60	729.0	6057.00	4.390	1.0700			4.1000	Active
112	8672910	K00918.01	CANDIDATE	CANDIDATE	39.64323100	206.5967500	15511	6.5002		0.0000	89.95	0.218	0		51.800000	0.11152	10.10	476.0	5526.00	4.540	0.8300			4.4000	Active
113	8686150	K00919.01	FALSE POSITIVE	FALSE POSITIVE	51.42589000	173.5358200	67595	14.6878		0.0003	89.95	0.278	0		33.059000	0.23536	25.40	511.0	6146.00	4.480	0.9900			0.3000	Active
114	8689031	K00920.01	CANDIDATE	CANDIDATE	21.80441000	190.4969000	1145	3.3299		0.7100	88.81	0.148	0		38.000000	0.03320	2.92	571.0	5551.00	4.590	0.8100			0.5000	Active
115	8689373	K00921.01	CANDIDATE	CANDIDATE	10.28192500	175.3398000	1102	3.6155		0.6900	87.66	0.086	0		16.600000	0.03240	2.50	652.0	5148.00	4.640	0.7100			0.7000	Active
116	8689373	K00921.02	CANDIDATE	CANDIDATE	18.11978000	182.6171000	1478	4.3562		0.7000	88.24	0.126	0		24.300000	0.03760	2.90	538.0	5148.00	4.640	0.7100			0.7000	Active
117	8689373	K00921.03	CANDIDATE	CANDIDATE	3.78406400	133.2758000	410	1.9481		0.8500	84.22	0.044	0		8.500000	0.02150	1.70	911.0	5148.00	4.640	0.7100			0.7000	Active
118	8826878	K00922.01	CANDIDATE	CANDIDATE	5.15444100	171.6414000	671	2.8347		0.2600	88.81	0.055	0		13.800000	0.02340	2.20	957.0	5417.00	4.460	0.8800			12.1000	Active
119	5897826	K00126.01	FALSE POSITIVE	FALSE POSITIVE	33.79723000	202.2980000	11578	13.7513		0.7090	87.66	0.220	0		15.960000	0.10592	19.90	723.0	5854.00	4.060	1.7300			4.8000	Active
120	8883593	K00923.01	CANDIDATE	CANDIDATE	5.74349100	174.8975000	1120	3.5347		0.6400	86.52	0.063	0		10.100000	0.03240	3.20	982.0	5894.00	4.530	0.9000			0.4000	Active
121	8951215	K00924.01	CANDIDATE	CANDIDATE	39.47585000	173.3114000	999	2.6160		0.9200	88.81	0.235	0		55.000000	0.03480	3.90	569.0	6206.00	4.470	1.0200			0.3000	Active
122	9016295	K00925.01	FALSE POSITIVE	FALSE POSITIVE	19.97448280	171.6293500	38722	3.9037		0.9400	88.24	0.147	0		30.890000	0.26610	28.00	686.0	6082.00	4.500	0.9600			0.4000	Active
123	9077124	K00926.01	CANDIDATE	CANDIDATE	3.16635280	170.9657100	1500	3.3168		0.0900	89.38	0.043	0		7.500000	0.03514	3.50	1216.0	5956.00	4.520	0.9200			0.4000	Active
124	9097120	K00927.01	FALSE POSITIVE	FALSE POSITIVE	23.89969400	188.9814800	20727	3.5628		1.3800	87.66	0.168	0		33.000000	0.54000	60.00	677.0	6223.00	4.460	1.0200			0.3000	Active
125	9140402	K00928.01	CANDIDATE	CANDIDATE	2.49415500	170.8557000	478	2.5908		0.9690	68.75	0.035	0		2.700000	0.02750	2.56	1212.0	5565.00	4.540	0.8530			2.1000	Active
126	9141746	K00929.01	CANDIDATE	CANDIDATE	6.49167170	174.6333000	7208	4.2273		0.3900	88.24	0.069	0		11.800000	0.07831	8.70	1022.0	6032.00	4.430	1.0200			3.2000	Active
127	9579641	K00115.01	CANDIDATE	CANDIDATE	5.41220140	133.1423700	598	2.8202		0.4380	88.24	0.064	0		13.600000	0.02292	3.38	1296.0	6398.00	4.250	1.3500			3.1700	Active
128	11304958	K00764.01	CANDIDATE	CANDIDATE	41.43954000	208.9318000	2791	10.6241		0.4700	88.81	0.218	0		27.900000	0.04873	4.70	474.0	5353.00	4.460	0.8800			13.8000	Active
129	11391957	K00765.01	CANDIDATE	CANDIDATE	8.35391700	171.6322000	1018	2.3351		0.6800	88.24	0.079	0		21.000000	0.03090	2.80	799.0	5612.00	4.580	0.8200			0.5000	Active
130	11403044	K00766.01	CANDIDATE	CANDIDATE	4.12557300	169.7492700	1466	3.2063		0.6700	84.80	0.051	0		7.800000	0.03718	4.00	1186.0	6098.00	4.470	0.9900			1.1000	Active
